time,latitude,longitude,depth_km,magnitude,seismic_moment_Nm,location,cumulative_moment_Nm,years_since_start,moment_release_rate_Nm_per_year
2018-08-05,-8.26,116.45,15,6.9,2.511886431509592e+19,"Lombok, Indonesia",6.0357754353123175e+23,149.97399041752226,2.263840002883443e+21
2018-09-28,-0.18,119.85,10,7.5,1.995262314968883e+20,"Palu, Indonesia",6.037770697627286e+23,150.12183436002738,2.246450958119842e+20
2019-05-26,-5.88,-75.27,122,8.0,1.1220184543019652e+21,Northern Peru,6.048990882170306e+23,150.7789185489391,1.3466635501139494e+21
2020-01-28,19.42,-78.75,10,7.7,3.9810717055349857e+20,Caribbean Sea,6.05297195387584e+23,151.45516769336072,1.5201256248554637e+21
2020-07-22,55.05,-158.53,28,7.8,5.6234132519034906e+20,Alaska Peninsula,6.058595367127744e+23,151.93702943189595,9.604484957438476e+20
2021-07-29,55.33,-157.84,32,8.2,2.238721138568347e+21,Alaska Peninsula,6.080982578513429e+23,152.9555099247091,2.238721138568347e+21
2021-08-12,18.43,-73.48,10,7.2,7.079457843841402e+19,Haiti,6.081690524297813e+23,152.99383983572895,2.3095157170067611e+21
2022-09-19,18.36,-103.22,20,7.6,2.818382931264449e+20,"Michoacan, Mexico",6.084508907229078e+23,154.0971937029432,2.818382931264449e+20
2023-02-06,37.17,37.03,17,7.8,5.6234132519034906e+20,Turkey-Syria,6.090132320480982e+23,154.4804928131417,1.0437058498136822e+21
2023-02-06,38.01,37.24,10,7.5,1.995262314968883e+20,Turkey-Syria aftershock,6.09212758279595e+23,154.4804928131417,1.0437058498136822e+21
2024-01-01,37.31,137.26,10,7.6,2.818382931264449e+20,"Noto Peninsula, Japan",6.094945965727215e+23,155.38124572210813,1.0437058498136822e+21
